name,date,message
smeyer,2025-10-02,"improve check log, amending r87044"
smeyer,2025-10-02,"tweak spelling of ""NAs"" in docs"
kalibera,2025-10-01,Comment re dimensions in lengths().
kalibera,2025-10-01,Document that lengths() preserve dimensions (PR#18858).
smeyer,2025-10-01,more use of \manual
smeyer,2025-10-01,merge duplicated items
smeyer,2025-10-01,more use of \manual
smeyer,2025-10-01,link/refer to 'The R Language Definition'
smeyer,2025-10-01,"Rd2txt: document and use descStyle=""linebreak"""
hornik,2025-10-01,Spelling.
hornik,2025-10-01,Typos.
maechler,2025-10-01,"both by() and rapply() require function, *not* string -- closing PR#7936 & PR#18429"
smeyer,2025-09-30,resolve FIXME from 2003 via new \manual syntax
deepayan,2025-09-30,optionally complete on all installed packages
ligges,2025-09-29,tarball size threshold for CRAN increased to 10 MB (as it already is in the policies)
maechler,2025-09-27,workaround an important pkg problem
maechler,2025-09-27,pretty(): get `bounds` arg; chkDots; fix typo in (and extend) old checks for eps.correct=2
maechler,2025-09-27,pretty(): fix boundary cases for eps.correct=2 (+ enhance docu)
luke,2025-09-26,Drop REAL0 and friends from Rinternals.h.
luke,2025-09-26,"Add INTEGER0, LOGICAL0, and RAW0 to tools:::nonAPI."
luke,2025-09-26,Allow for WRE @forfun annotation in api tools.
hornik,2025-09-26,Updated.
hornik,2025-09-26,Bump default BioC version to 3.22.
maechler,2025-09-25,one more DEBUG print; eliminate trailing whitespace-diffB
kalibera,2025-09-24,Document that chartr specifications allow using - as a literal (PR#17220).
ripley,2025-09-24,typo
kalibera,2025-09-23,Document that for loops implicitly unclass the seq argument (PR#18215).
hornik,2025-09-22,Updated.
kalibera,2025-09-22,Improve caret behavior in Rgui when the edit line starts with text including a carriage return (PR#15925).
maechler,2025-09-22,cosmetic: localized declarations
kalibera,2025-09-22,NEWS entry for 88842.
ripley,2025-09-22,fix warning on macOS
kalibera,2025-09-22,"Add comment re LDFLAGS in libR.pc, reference PR#17744."
ripley,2025-09-21,reflect announcement in 4.5.0 that included BLAS/LAPACK is frozen
kalibera,2025-09-19,Initialize structures used with Windows API dialogs in RGui.
kalibera,2025-09-19,"In Rgui, Save script as dialog, start in the directory where the file is currently located, restoring earlier behavior (PR#15444)."
kalibera,2025-09-18,NEWS entry for 88856.
kalibera,2025-09-18,Fix right-alignment of default column label when printing a matrix (PR#18943).
smeyer,2025-09-18,remove duplicated test (amending c80290)
smeyer,2025-09-18,--force-biarch is gone
smeyer,2025-09-17,remove duplication (reported by Heather Turner)
smeyer,2025-09-17,link rw-FAQ sections
smeyer,2025-09-17,"build dictionaries, following r88514"
smeyer,2025-09-17,more use of \manual
smeyer,2025-09-17,tweak [?]bug.report and remove outdated/duplicated text from R-FAQ (now linked)
kalibera,2025-09-17,Use read-only (altrep) accessors in copyVector (PR#18762).
kalibera,2025-09-17,Update NextMethod() documentation to explicitly say how extra positional arguments are treated (PR#15654).
hornik,2025-09-17,More ISBNs.  By Ella Kaye.
hornik,2025-09-17,Improve bibliography db.  By Ella Kaye.
smeyer,2025-09-16,cleanup after r88514
smeyer,2025-09-16,rebuild all base Rd DBs when system macros change
kalibera,2025-09-16,"Ensure even cairo >= 1.17.8 uses ""pt"" as the default SVG document unit (PR#18912)."
kalibera,2025-09-16,Prevent crash when filename is empty (PR#18792).
smeyer,2025-09-16,more tweaks for confint.default() from r88801
smeyer,2025-09-16,cleanup after r84646
smeyer,2025-09-16,markup
smeyer,2025-09-15,"Rd2txt: \cite visibly, using single quotes"
smeyer,2025-09-15,comments
maechler,2025-09-15,substr() / substring() now allow `NULL` for stop|last
kalibera,2025-09-15,"Add argument ""fixed"" to list.files() (from Duncan Murdoch, PR#18925)."
smeyer,2025-09-15,"have Rd2txt() skip empty \emph{} etc, consistent with Rd2HTML()"
smeyer,2025-09-14,implement and use \manual references in Rd
smeyer,2025-09-14,improve the presentation of R manuals in HTML
smeyer,2025-09-14,tweak image positions
maechler,2025-09-14,typo
maechler,2025-09-14,oops: part of 88823
maechler,2025-09-13,"jitter(x,..): more robust against non-finite x;  improved help()"
maechler,2025-09-13,backports: sync w/ R-patched
maechler,2025-09-13,"fix lbeta(<complex>, .) - `op` blunder"
kalibera,2025-09-12,Fix download.packages() and install.packages() to again use option download.file.method when the download method argument is unspecified (PR#18945).
kalibera,2025-09-12,Document which regular expression types are used by exportPattern (PR#18026).
kalibera,2025-09-12,Document how bxp() treats axis-related parameters when horizontal (PR#10345).
kalibera,2025-09-12,Add pos= argument to mget() (PR#7376).
kalibera,2025-09-12,Tweak - puts the most common case first.
kalibera,2025-09-12,Use LDFLAGS when linking shared libraries on Windows (PR#16384).
smeyer,2025-09-12,markup
kalibera,2025-09-12,"Use GEcreateDD() and GEfreeDD() on Windows graphic device (related to 88803, from Paul Murrell)."
smeyer,2025-09-11,update for r88273
smeyer,2025-09-11,fix warning message from insertSource()
pd,2025-09-11,"confint.default: re-fix case of unnamed vcov, without breaking other cases this time...."
hornik,2025-09-11,Tweaks.
murrell,2025-09-10,fix compiler warning and typo in devQuartz.c
pd,2025-09-10,minor rephrasing
hornik,2025-09-10,More use of check log INFO.
murrell,2025-09-10,fix compiler warnings
murrell,2025-09-10,"add R_eval_with_gd() to ""lock"" a graphics device during eval() calls during device drawing.  When graphics device is locked, any attempt to close/kill the device is ignored.  This is to protect against the user closing the device via asyncronous event (e.g., mouse click) during device drawing (which could result in a crash as killing the device left dangling device pointers for any drawing code that was still to complete)"
murrell,2025-09-09,add GEcreateDD() and GEfreeDD(); satisfies PR#18292
luke,2025-09-09,Drop use of memory profiling in model.c when barrier checking.
pd,2025-09-09,confint.default and AIC/BIC for S4 objects
hornik,2025-09-09,Need to show what we cite.  Spotted by SM.
hornik,2025-09-09,Updated.
maechler,2025-09-08,"tweaks inspired by PR#18865, notably  sum(<log>) > 0 ==> any(<log>)"
smeyer,2025-09-08,tweak r88572
smeyer,2025-09-08,update for r88671 and r88676
smeyer,2025-09-08,avoid auto-generating non-ASCII Rd
kalibera,2025-09-04,Tweak 88793.
kalibera,2025-09-04,Skip directories in file.show() to unify behavior across platforms and avoid potential crashes (PR#15314).
ligges,2025-09-04,revert 88778 (as discussed with PD)
maechler,2025-09-04,avoid FP compiler warning
maechler,2025-09-04,"plot.default(), new lim2=TRUE: default xlim/ylim from range of _jointly_ finite (x,y)"
hornik,2025-09-04,Tweak.  By  Dirk Eddelbuettel.
maechler,2025-09-03,"{col,row}{Sums,Means}(<complex_w_NA>, na.rm=TRUE) now work correctly"
kalibera,2025-09-03,Use read-only (possibly altrep) pointers in duplicate1 with atomic vectors (PR#18759).
kalibera,2025-09-03,Use read-only (possibly altrep) pointers in R_compute_identical with atomic vectors (PR#18761).
hornik,2025-09-03,Optionally catch Armadillo fallback compilation messages.
kalibera,2025-09-03,"Warn about partial matching of arguments, when enabled, also when calling primitives that behave like functions (PR#18716)."
kalibera,2025-09-03,Revert 88729 (PR#18924) as it is not good for readability.
hornik,2025-09-03,Tweaks.  By Torsten Hothorn.
hornik,2025-09-03,Fix some FIXMEs.
hornik,2025-09-03,Provide exact (conditional) one-sample inference with zeroes.
pd,2025-09-03,more fixups to mle help page examples
pd,2025-09-03,"make confint.default and *IC.default look for coef, vcov, logLik, nobs in parent frame rather than stats/stats4 namespaces"
hornik,2025-09-03,Fix some FIXMEs.
hornik,2025-09-03,Fix some FIXMEs.
hornik,2025-09-03,Fix some FIXMEs.
hornik,2025-09-03,s/cpermdist/dpermdist/
maechler,2025-09-02,match.arg(): indent + drop unreachable branch
hornik,2025-09-02,Spelling.
hornik,2025-09-02,Fix cut and paste error.
hornik,2025-09-02,Updated.
hornik,2025-09-02,Updated.
pd,2025-09-02,fixup interaction between examples for stats4::mle()
maechler,2025-09-02,add optional `orderH` argument to barplot()
hornik,2025-09-02,Updated.
hornik,2025-09-02,Need floor and not round.
hornik,2025-09-02,Updated.
hornik,2025-09-02,Tweaks.
hornik,2025-09-02,Show the name of the file which has the parse error (PR#18907).
kalibera,2025-09-01,Add checks for allocation failures (PR#16303).
hornik,2025-09-01,Tweaks and FIXMEs.
hornik,2025-09-01,Updated.
hornik,2025-09-01,Document improvements to wilcox.test().
hornik,2025-09-01,Updated.
hornik,2025-09-01,Updated.
hornik,2025-09-01,Allow asking for up to 3 terms of the Edgeworth series of the asymptotic normal approximation of the p-values (if there are no ties [or zeroes]).
hornik,2025-09-01,Updated.
hornik,2025-09-01,Provide exact (conditional) one-sample inference with ties.
hornik,2025-09-01,Add dpq functions for the exact conditional/permutation distribution of the Wilcoxon signed rank statistic.
hornik,2025-09-01,Tweaks.
hornik,2025-09-01,Tweaks.
hornik,2025-08-31,Updated.
hornik,2025-08-31,Provide exact (conditional) two-sample inference with ties.
hornik,2025-08-31,Tweaks.
hornik,2025-08-31,Tweaks.
hornik,2025-08-31,Tweaks.
hornik,2025-08-31,Add dpq functions for the exact conditional/permutation distribution of the Wilcoxon rank sum statistic.
hornik,2025-08-31,Add code to compute rank sum permutation distributions using the Streitberg and Röhmel Shift Algorithm.  By Torsten Hothorn.
hornik,2025-08-30,Updated.
hornik,2025-08-30,"Factor out functions for computing stat, pval and cint."
hornik,2025-08-29,Use McNeil as primary reference.
kalibera,2025-08-29,Fix dump() of nothing to an existing connection (PR#18729).
kalibera,2025-08-29,Fix typo in documentation.
hornik,2025-08-29,Updated.
hornik,2025-08-29,"Add R bibstyle, and use it for auto-generating references."
hornik,2025-08-29,Add .persons_from_bibentry().
hornik,2025-08-29,Updated.
hornik,2025-08-28,Tweaks.
kalibera,2025-08-28,Make it explicit that specifying row.names in read.csv() when the header line has one less entry than the number of columns is undocumented behavior (PR#18769).
kalibera,2025-08-28,"Add aliases r"" and r' for Quotes help page (PR#18524)."
kalibera,2025-08-28,"Expand/clarify message displayed when a package being built is also installed (as it is needed to build vignettes or help pages, PR#18692)."
kalibera,2025-08-28,Allow backslash at end of line in lambda syntax (PR#18924).
hornik,2025-08-28,Attribution for c88725.
hornik,2025-08-28,Updated.
hornik,2025-08-28,Add messageCondition() (PR#18940).  By Trevor Davis.
hornik,2025-08-28,Improve docs for Sweave drivers and utilities.  By Vincent Goulet.
hornik,2025-08-27,Tweaks.
hornik,2025-08-27,More checks for invalid https? URLs.
hornik,2025-08-27,Tweaks.
hornik,2025-08-27,Updated.
kalibera,2025-08-27,Make packageDescription() match package.rds when dealing with white space in DESCRIPTION file (PR#18788).
kalibera,2025-08-27,Reduce risk of name conflicts when accessing base symbols from R (PR#18778).
kalibera,2025-08-27,Remove unnecessary memory protection.
hornik,2025-08-27,Add .Rd_find_nodes_from_macros().
hornik,2025-08-27,Auto-generate citations and references.
hornik,2025-08-27,Updated.
kalibera,2025-08-27,Fix formal argument names in error messages of sequence.default (PR#18304).
kalibera,2025-08-27,Fix list of handled vowels (PR#18939).
hornik,2025-08-27,Auto-generate citations and references.
hornik,2025-08-27,Updated.
hornik,2025-08-26,Auto-generate citations and references.
hornik,2025-08-26,Updated.
kalibera,2025-08-26,Make file.exists() interruptible (PR#17554).
hornik,2025-08-26,Updated.
hornik,2025-08-26,Auto-generate citations and references.
hornik,2025-08-26,Updated.
hornik,2025-08-26,Auto-generate citations and references.
hornik,2025-08-26,Updated.
hornik,2025-08-25,Auto-generate citations and references.
hornik,2025-08-25,Updated.
kalibera,2025-08-25,"Document that .Random.seed[-1] may become not only negative, but perhaps also NA (PR#18870)."
kalibera,2025-08-25,Remove reference to removed demo (PR#18933).
kalibera,2025-08-25,Improve detection of failed downloads in available.packages() (PR#17543).
kalibera,2025-08-25,Mention -f option of curl in documentation (related to PR#17543).
hornik,2025-08-24,Auto-generate citations and references.
hornik,2025-08-24,Updated.
hornik,2025-08-24,Auto-generate citations and references.
hornik,2025-08-24,Add .Rd_drop_nodes_from_macros().
hornik,2025-08-24,Auto-generate citations and references.
hornik,2025-08-24,Updated.
hornik,2025-08-24,Auto-generate citations and references.
urbaneks,2025-08-24,use run-time darwin version instead of build as last component in defaultUserAgent
kalibera,2025-08-23,Improve toTitleCase() handling of comma (PR#18764).
kalibera,2025-08-23,"Document that HTTPUserAgent starting with ""R "" is ignored/reserved (PR#18820)."
hornik,2025-08-23,Avoid possible truncation when int is 32 or 64 bits (spotted by gcc-snapshot).
hornik,2025-08-23,Updated.
hornik,2025-08-23,Spelling.
hornik,2025-08-22,Drop trailing \cr in \tabular to avoid tables with too few rows as spotted by the v.Nu checker.
hornik,2025-08-22,Turn links to unavailable packages into nothing.
hornik,2025-08-22,Do not use trailing slashes on void elements (the v.Nu checker complains about doing so).
hornik,2025-08-22,Add and use .parLapply_on_strings().
hornik,2025-08-22,Tweaks.
hornik,2025-08-22,Updated.
hornik,2025-08-22,Do not use a 'type' attribute for JavaScript resources (the v.Nu checker warns about doing so).
hornik,2025-08-22,Avoid getting duplicated ids by lowercasing.
hornik,2025-08-22,Improve srcfile() encoding handling.  By Ivan Krylov.
ripley,2025-08-21,corrupted update
maechler,2025-08-21,"chkDots(*, allowed = <char>) implemented now"
maechler,2025-08-21,fix typo <=> PR#18935 (+ cosmetic)
ripley,2025-08-21,tweak
ripley,2025-08-21,typos
pd,2025-08-21,revert RJournal.bib to 88661
pd,2025-08-20,maintainer-mode changes
hornik,2025-08-20,Add entries for 2022-2024.
hornik,2025-08-20,Replace URLs by DOIs where available.
ripley,2025-08-20,note unused args to loadNamespace()
hornik,2025-08-20,Fix embarrassing bugs in single index subassigning for persons and bibentries.
maechler,2025-08-20,"more prominently note that in formulas, e.g., mean(x) is evaluated *before* subset=*"
hornik,2025-08-20,Allow persons for organization-like bibentry fields.
hornik,2025-08-20,Add conversion function 18927() (PR#18927).
hornik,2025-08-20,Auto-generate citations and references.
hornik,2025-08-20,Updated.
hornik,2025-08-20,Corrections.
murrell,2025-08-20,add information about when device API points were added for the benefit of external graphics device authors
hornik,2025-08-19,Drop cran.mirror.ac.za.
hornik,2025-08-19,Add more bib tools.
hornik,2025-08-19,Put bib tools into separate file.
maechler,2025-08-19,slightly tighten check for PR#17959
hornik,2025-08-19,Auto-generate citations and references.
hornik,2025-08-19,Updated.
hornik,2025-08-19,Tweaks.
ripley,2025-08-19,add comments
kalibera,2025-08-19,Amend 88640.
maechler,2025-08-18,speedup
kalibera,2025-08-18,Prevent undefined behavior on unreasonably large allocation (PR#18748).
kalibera,2025-08-18,Add vector length to error message.
maechler,2025-08-18,"better rep(..) error messages for bad `times` o `each` combinations, etc"
kalibera,2025-08-18,Fix Sweave driver setup invocation when given filename without extension (PR#18652).
kalibera,2025-08-18,Expand documentation on R_DISABLE_HTTPD (PR#18648).
hornik,2025-08-18,Drop obsolete 'Modified BSD License'.
hornik,2025-08-18,Auto-generate citations and references.
hornik,2025-08-18,Updated.
hornik,2025-08-18,Updated.
kalibera,2025-08-17,Work-around to allow png(nullfile()) on macOS (PR#17733).
hornik,2025-08-17,Tweaks.
hornik,2025-08-17,Updated.
hornik,2025-08-17,Auto-generate citations and references.
hornik,2025-08-17,Updated.
hornik,2025-08-17,Document c88613.
ripley,2025-08-17,revert r88616 for now
hornik,2025-08-17,Change keys in R bibentries to all ASCII.
hornik,2025-08-16,Auto-generate citations and references.
hornik,2025-08-16,Updated.
hornik,2025-08-16,Spelling.
hornik,2025-08-16,Updated.
hornik,2025-08-16,Updated.
maechler,2025-08-16,loadNamespace() checks validity of `versionCheck` & requireNamespace() propagates such an error
ripley,2025-08-16,clarify what requireNamespace does with an already-loaded ns
ripley,2025-08-16,avoid clang warning
ripley,2025-08-16,document a consequence of c88540
maechler,2025-08-16,thanks to BDR: 32-bit__time-t warning
hornik,2025-08-16,Document auto-generation of citations and references.
hornik,2025-08-16,Disambiguate.
hornik,2025-08-16,Tweaks.
hornik,2025-08-16,Stop when keys are duplicated or missing.
hornik,2025-08-16,Eliminate duplicated keys.
kalibera,2025-08-15,"Fix parCapply, parRapply to return vector (not list) also under corner-case conditions (PR#17807)."
kalibera,2025-08-15,Fix invalid memory access in xspline (PR#17774).
smeyer,2025-08-15,spelling/markup/link
kalibera,2025-08-15,Fix typo in option name (PR#17811).
kalibera,2025-08-15,Expand docs of args() re primitives not having an arguments list available(PR#17805).
hornik,2025-08-15,Auto-generate citations and references.
hornik,2025-08-15,Tweaks.
hornik,2025-08-15,Updated.
kalibera,2025-08-15,Avoid multiple definitions of dpptr (PR#16632).
kalibera,2025-08-15,Add sanity checks (PR#16304).
hornik,2025-08-15,Auto-generate citations and references.
hornik,2025-08-15,Updated.
kalibera,2025-08-14,Use IEC unit in documentation (PR#18753).
kalibera,2025-08-14,Remove unused pairlist code from do_matrix and fix (unused) copyListMatrix (PR#18775).
kalibera,2025-08-14,Add documentation link from readRDS to unserialize (re refhook). (PR#18695).
hornik,2025-08-14,Auto-generate citations and references.
kalibera,2025-08-13,Do not discuss anymore the possibility that R_VERSION is not defined (it is since R 0.99.0) (PR#18783).
hornik,2025-08-13,Auto-generate citations and references.
hornik,2025-08-13,Updated.
hornik,2025-08-13,Auto-generate citations and references.
hornik,2025-08-13,Updated.
kalibera,2025-08-13,"Do not warn about missing qpdf when it isn't needed (PR#17142, from Kirill Müller)."
kalibera,2025-08-13,"Clean up nthcdr, nrows, ncols to reflect that data frames are new lists. Related to PR#15772."
hornik,2025-08-13,Auto-generate citations and references.
hornik,2025-08-13,Updated.
maechler,2025-08-13,deprecate `tk*.slaves()` in favor of `tk*.child()` if Tcl/Tk version >= 8.6
smeyer,2025-08-12,cleanup
hornik,2025-08-12,Auto-generate citations and references.
kalibera,2025-08-12,Avoid scrolling to prompt line in RTerm with cmd.exe/Powershell when focus is lost (PR#17295).
hornik,2025-08-12,Auto-generate citations and references.
hornik,2025-08-12,Align more closely with the JSS BibTeX style.
hornik,2025-08-12,Updated.
kalibera,2025-08-12,Fix make variable expansion in documentation (PR#17331).
pd,2025-08-12,allow [quasi]binomial(identity) without quotes
hornik,2025-08-12,Auto-generate citations and references.
hornik,2025-08-12,Tweaks.
hornik,2025-08-12,Use classed span for hyperlinked citations.
hornik,2025-08-12,Updated.
hornik,2025-08-12,Updated.
hornik,2025-08-11,Updated.
hornik,2025-08-11,Drop \encoding{UTF-8}.
hornik,2025-08-11,Replace Rd \eqn math by LaTeX $ math.
kalibera,2025-08-11,Support in gzcon for reading a concatenation of compressed input streams (PR#18887).
hornik,2025-08-11,Change \I{...} to {...}.
hornik,2025-08-11,Drop obsolete \bibcite.
hornik,2025-08-11,Auto-generate citations and references.
hornik,2025-08-11,Updated.
maechler,2025-08-11,tweak for r88540
smeyer,2025-08-10,format LaTeX math in bibentry fields via Rd \eqn
hornik,2025-08-10,Support using bibentries from non-base packages.
hornik,2025-08-10,Auto-generate citations and references.
smeyer,2025-08-10,cleanup (Rdiff canonicalizes quotes)
smeyer,2025-08-10,update reference output for r88536
smeyer,2025-08-10,"tweaks, comments"
hornik,2025-08-10,Auto-generate citations and references.
hornik,2025-08-10,Tweaks.
hornik,2025-08-10,Updated.
hornik,2025-08-09,Auto-generate citations and references.
hornik,2025-08-09,Quick fix for allowing commas in before/after.
hornik,2025-08-09,Auto-generate citations and references.
hornik,2025-08-09,Auto-generate citations and references.
hornik,2025-08-09,Updated.
maechler,2025-08-09,for r88540
hornik,2025-08-09,Tweaks.
hornik,2025-08-09,Updated.
hornik,2025-08-09,Auto-generate citations and references.
hornik,2025-08-09,Enhancements for c88462.
maechler,2025-08-09,loadNamespace(): correct `versionCheck`
hornik,2025-08-08,Auto-generate citations and references.
hornik,2025-08-08,Add Encoding: UTF-8.
hornik,2025-08-08,Updated.
kalibera,2025-08-08,"Use paste0() instead of paste(,sep="" "") (PR#18377)."
kalibera,2025-08-08,Fix printing of potentially large R_xlen_t values on Windows (PR#17327).
smeyer,2025-08-08,cleanup
kalibera,2025-08-08,Minor style improvements - use of scalar logical operators (PR#18378).
smeyer,2025-08-08,clarification
smeyer,2025-08-08,add NEWS for r88493
kalibera,2025-08-07,"Amend 88495 (na.omit.data.frame, na.exclude.data.frame), restore some of the previous undocumented behavior that some packages ended up relying on."
hornik,2025-08-07,Auto-generate citations and references.
hornik,2025-08-07,Updated.
smeyer,2025-08-07,markup
hornik,2025-08-07,Markup.
pd,2025-08-07,"improve profiling of ""mle"" objects (stats4)"
hornik,2025-08-07,Auto-generate citations and references.
hornik,2025-08-07,Added.
hornik,2025-08-07,Updated.
smeyer,2025-08-07,use \dontdiff
hornik,2025-08-07,Updated.
smeyer,2025-08-07,"Verbose -> Verbatim, markup"
hornik,2025-08-07,Added.
hornik,2025-08-07,Updated.
smeyer,2025-08-06,guard against empty \linkS4class{}
hornik,2025-08-06,Removed.
hornik,2025-08-06,Build R bibentries when installing.
hornik,2025-08-06,Tweaks.
kalibera,2025-08-06,Document that output from cluster workers cannot be displayed on Rgui console in Windows (PR#18358).
kalibera,2025-08-06,Include stddef.h for size_t (PR#18446).
kalibera,2025-08-06,Allow repl to recover from spurious end-of-file indication from the parser due to incomplete view over the input (PR#15941).
kalibera,2025-08-05,Fix trace() for multiple functions (PR#18363).
hornik,2025-08-05,Updated.
hornik,2025-08-05,Added.
hornik,2025-08-04,Updated.
hornik,2025-08-04,Updated.
hornik,2025-08-04,Auto-generate citations and references.
hornik,2025-08-04,Add Encoding: UTF-8.
kalibera,2025-08-04,"Tweak R CMD check to treat loadNamespace(""pkg"") as use of the package (PR#18466). From Duncan Murdoch."
kalibera,2025-08-04,Allow instaling binary package on Windows from an archive with a non-standard name (PR#18319).
hornik,2025-08-04,Auto-generate citations and references.
hornik,2025-08-04,Updated.
hornik,2025-08-04,Update for c88481.
hornik,2025-08-04,Make Rdfile info conveniently available for Sexpr code.
hornik,2025-08-04,Updated.
kalibera,2025-08-03,Do not copy in na.omit.data.frame and na.exclude.data.frame when there are no NAs (PR#16714).
kalibera,2025-08-03,Fix file.show for files in non-native encoding (PR#16738). From Mikko Korpela.
smeyer,2025-08-02,fix processing multi-line Rd \Sexpr code
smeyer,2025-08-02,test multi-line Rd \Sexpr (to be fixed)
hornik,2025-08-02,Updated.
hornik,2025-08-02,Enhancements for c88462.
hornik,2025-08-02,Enhancements for c88462.
hornik,2025-08-02,Enhancements for c88462.
hornik,2025-08-02,Tweaks.
smeyer,2025-08-01,spelling/markup
hornik,2025-08-01,Cleanups for c88456.
hornik,2025-08-01,Updated.
hornik,2025-08-01,Turn 'doi:' URLs into the corresponding DOI URLs.
hornik,2025-08-01,s/sapply/vapply.
hornik,2025-08-01,"Use HTML by default if interactive, and allow fragements for R manuals."
hornik,2025-08-01,Make before/after work as documented.
hornik,2025-08-01,Adjust for c79007.
smeyer,2025-08-01,add NEWS for r88476
smeyer,2025-07-31,tweaks
smeyer,2025-07-30,"fix para breaks in Rd2HTML(): handle indented \Sexpr, skip inactive #ifdef"
smeyer,2025-07-30,test continuation after excluded #ifdef (HTML to be fixed)
smeyer,2025-07-30,test Rd conversion of \Sexpr-generated paragraphs (HTML to be fixed)
kalibera,2025-07-30,Fix typos in comments.
maechler,2025-07-30,"correct warning message in some hist(*, plot=FALSE) cases"
hornik,2025-07-30,Tweaks for c88462.
hornik,2025-07-30,Adjust for c79007.
hornik,2025-07-30,Tweak .check_package_parseRd() to also get encoding for base packages.
hornik,2025-07-30,Add Encoding: UTF-8.
hornik,2025-07-30,Updated.
kalibera,2025-07-29,Fix propagation of R errors and interrupts from window procedures on Windows (includes graphic output to the screen).
hornik,2025-07-28,Experiment with auto-generating citations and references in Rd files.
hornik,2025-07-28,Updated.
hornik,2025-07-28,Add bibliographies.
smeyer,2025-07-27,"tweak dpqr docs: +cumulative (PR#18916), +/densities, markup"
smeyer,2025-07-26,typos/comments in R-exts#Debugging
smeyer,2025-07-26,do run a dump.frames example
hornik,2025-07-26,Drop LibPath hack from c68715.
hornik,2025-07-26,Updated.
hornik,2025-07-26,Switch toc_entry default.
hornik,2025-07-26,Spelling.
hornik,2025-07-26,Updated.
smeyer,2025-07-25,"fix typos in German translations of ""R-tools"" messages"
maechler,2025-07-25,"YA tweak at ""balanced"" in [[.POSIXlt"
maechler,2025-07-25,NEWS for 88448
maechler,2025-07-25,"format.default(<list>, ..) now calls format(), not format.default()"
smeyer,2025-07-24,wording
hornik,2025-07-22,Add mirror.maeen.sa.
maechler,2025-07-22,subassignment <complex>[i] <- NA should only touch the real part
hornik,2025-07-22,Tweaks for c88430.
maechler,2025-07-22,amend c88441 (wrong att.)
maechler,2025-07-22,better re-balancing after subassigning POSIXlt
smeyer,2025-07-22,sync docs
hornik,2025-07-21,Add Apache-2.0 and CC0-1.0.
maechler,2025-07-21,amend c88435 (wrong *.Rd)
maechler,2025-07-21,improve ex.:  customized axis() inspired by Martin Smith` PR#18108#c6
maechler,2025-07-21,"hist(.., log=""x"") now works without warning"
smeyer,2025-07-21,Rd2txt: avoid para break from initial newline in \eqn block
smeyer,2025-07-21,add reference output for Rd \eqn (before Rd2txt() patch)
hornik,2025-07-21,Updated.
smeyer,2025-07-18,use ...names()
hornik,2025-07-18,Document c88334.
hornik,2025-07-18,Prefer \href to \url.
hornik,2025-07-18,Spelling.
hornik,2025-07-18,Add getters for BioC aliases and rdxrefs dbs.
hornik,2025-07-18,Tweaks.
hornik,2025-07-18,Tweaks for CRAN incoming checks.
smeyer,2025-07-17,test fixInNamespace()
smeyer,2025-07-17,"fixInNamespace(""<S3method>"", ns) gets generic from 'ns' (or parents)"
smeyer,2025-07-17,tweaks for r88391
smeyer,2025-07-17,add NEWS for r88231
maechler,2025-07-16,"checkReplaceFuns(): report non-""<gen>.<cls>"" as \S3method{<gen>}{<cls>}"
kalibera,2025-07-16,NEWS entry for 88391.
kalibera,2025-07-16,Test for .netrc support (PR#18892).
smeyer,2025-07-16,add NEWS for r88246
ripley,2025-07-16,upate -- all current systems have accurate clocks
murrell,2025-07-15,bug fix for glyph rendering on quartz()
maechler,2025-07-14,allow length(<expr>) <- n
kalibera,2025-07-14,Improve handling of short (uncompressed) files and error handling in gzcon. Partially addresses PR#18887.
ripley,2025-07-13,warn on new option names
smeyer,2025-07-11,tweak/translate menu title
maechler,2025-07-11,checkReplaceFuns(): amend c88398
maechler,2025-07-11,{quiet}: alphabetically order options
maechler,2025-07-11,"pgamma() & pchisq() are not always ""cadlag"": fix docu thanks to Robert Schlicht`s PR#18888"
maechler,2025-07-11,comments / cosmetic
maechler,2025-07-11,allow `quiet` and `verbose` be true simultaneously
hornik,2025-07-10,Markup.
maechler,2025-07-10,fix checkReplaceFuns() for case S3 method <functions> instead fn names
smeyer,2025-07-10,tweak message for --clean=keepOuts
kalibera,2025-07-10,Add cast.
maechler,2025-07-09,"improve, notably on `versionCheck`"
kalibera,2025-07-08,Revert 88372 (doesn't prevent recursive event loop via other paths).
kalibera,2025-07-07,Support for .netrc with libcurl (PR#18892).
smeyer,2025-07-06,tweak description (by Eric Lindblad)
smeyer,2025-07-06,fix 2 typos in names(precip)
murrell,2025-07-05,fix for PR#18915;  thanks to Trevor Davis
ripley,2025-07-05,tweak for Xcode/CLT 26 on macOS
maechler,2025-07-05,"getOption(""quiet"") accessing C R_Quiet"
smeyer,2025-07-04,skip re-reading defaults from txi-en.tex
smeyer,2025-07-04,spelling/markup
smeyer,2025-07-04,--timings only affect examples
smeyer,2025-07-04,.Rout.save needs echoed source
smeyer,2025-07-03,tweak example(complex) for platforms with canonical NaN
maechler,2025-07-03,make it even more clear to *which* median `high` and `low` apply
kalibera,2025-07-03,Fix typo.
maechler,2025-07-02,move {zstd} up <- r88373
maechler,2025-07-01,"extSoftVersion() now reports ""zstd""`s version when available"
kalibera,2025-07-01,Do not call the message loop on Windows recursively to avoid crashes.
kalibera,2025-07-01,"Avoid nested message loop on Windows, potentially causing a crash by cleaning up data structures still in use."
smeyer,2025-07-01,"mention -s, amending r77228"
ripley,2025-06-30,tweak
kalibera,2025-06-30,Comment.
